lorengau,pg,-4,148
oranjemund,na,-34,7
mangaratiba,br,-24,-44
cangucu,br,-31,-53
utiroa,ki,-5,170
iguape,br,-25,-47
kiunga,pg,-7,141
bone,id,-4,121
coruripe,br,-17,-29
chuy,uy,-71,-18
atocha,bo,-22,-67
tingo maria,pe,-9,-76
mount barker,au,-35,139
bambanglipuro,id,-17,108
pimenta bueno,br,-12,-61
diamantina,br,-18,-44
cooma,au,-38,150
maues,br,-4,-58
samalaeulu,ws,-13,-172
harrismith,za,-28,29
kipini,ke,-3,41
lata,sb,-13,164
lae,pg,-7,147
salta,ar,-25,-67
luena,ao,-14,20
vohibinany,mg,-17,49
chake chake,tz,-6,42
armidale,au,-31,152
poya,nc,-27,161
iraucuba,br,-4,-40
itamarandiba,br,-18,-43
bom jesus,br,-10,-44
okakarara,na,-21,17
santa barbara,bo,-21,-66
ahipara,nz,-37,167
rio cuarto,ar,-34,-64
madang,pg,-5,145
wote,ke,-2,38
carandai,br,-21,-44
macusani,pe,-14,-70
kanye,bw,-25,25
mancio lima,br,-7,-73
guajara,br,-3,-58
espinosa,br,-15,-43
lubao,cd,-6,26
bell ville,ar,-33,-63
tiarei,pf,-17,-149
kapiri mposhi,zm,-14,29
sao miguel do araguaia,br,-13,-53
ialibu,pg,-7,144
alotau,pg,-11,149
gamba,ga,-9,2
santa cruz cabralia,br,-17,-37
mwingi,ke,-1,38
breyten,za,-26,30
broken hill,au,-33,140
moba,cd,-7,29
manta,ec,-1,-84
monteagudo,bo,-20,-64
bloemfontein,za,-30,26
contamana,pe,-7,-75
itaqui,br,-29,-57
teresina,br,-5,-43
tabukiniberu,ki,-1,176
crateus,br,-5,-41
malinyi,tz,-9,36
itacoatiara,br,-3,-59
carmo do rio claro,br,-21,-46
launceston,au,-42,147
manoel urbano,br,-10,-70
potgietersrus,za,-24,29
kupang,id,-14,123
baturaja,id,-5,104
pauini,br,-8,-67
mitsamiouli,km,-11,42
santa rosa,ar,-39,-65
sokoni,tz,-7,41
veinticinco de mayo,ar,-36,-60
canto do buriti,br,-8,-43
barreirinha,br,-3,-57
kisangani,cd,-1,25
uarini,br,-3,-65
delta del tigre,uy,-35,-57
bengkulu,id,-26,86
kindu,cd,-4,25
axim,gh,-5,-3
huancavelica,pe,-13,-75
cairns,au,-17,146
sydney,au,-35,153
sao borja,br,-29,-56
marondera,zw,-18,32
carinhanha,br,-14,-44
urubamba,pe,-13,-72
kibaya,tz,-5,37
haapiti,pf,-19,-151
saleaula,ws,-12,-172
pergamino,ar,-34,-61
laredo,pe,-8,-79
tena,ec,-1,-78
tabora,tz,-5,33
tutoia,br,-2,-42
barreiras,br,-12,-45
loandjili,cg,-6,10
la mana,ec,-1,-79
lahat,id,-5,103
shurugwi,zw,-20,30
luangwa,zm,-16,30
mouila,ga,-2,11
mount isa,au,-26,139
padang,id,-11,87
saurimo,ao,-10,19
diamantino,br,-14,-56
devonport,au,-40,147
iquitos,pe,-4,-73
rio branco,br,-10,-68
mahebourg,mu,-56,79
voi,ke,-3,39
kigali,rw,-2,30
kambove,cd,-11,26
jambi,id,-2,103
manica,mz,-19,33
dubbo,au,-32,147
kalabo,zm,-16,21
barcelos,br,-2,-63
olavarria,ar,-37,-62
koster,za,-26,27
rio gallegos,ar,-53,-69
camargo,bo,-21,-65
parkes,au,-33,148
cordoba,ar,-31,-64
cardoso,br,-20,-50
tchibanga,ga,-3,11
seddon,nz,-43,175
sampit,id,-4,113
ranfurly,nz,-45,170
aparecida do taboado,br,-20,-51
karonga,mw,-10,34
palmas,br,-10,-48
banjar,id,-17,105
san luis,ar,-34,-67
kawana waters,au,-26,156
victoria point,au,-27,155
coroico,bo,-16,-68
kaitangata,nz,-90,179
tupancireta,br,-29,-54
concordia,ar,-31,-59
namalenga,tz,-11,39
porirua,nz,-41,175
manaia,nz,-40,174
east london,za,-90,60
acarau,br,-2,-40
moyobamba,pe,-6,-77
kajiado,ke,-2,37
laela,tz,-9,32
miracema do tocantins,br,-9,-48
ibirite,br,-20,-44
curaca,br,-9,-40
port alfred,za,-90,41
port augusta,au,-32,136
mungaa,tz,-5,35
saint-denis,re,-19,55
mataura,pf,-90,-168
ibotirama,br,-12,-44
tshikapa,cd,-7,19
barra do garcas,br,-15,-53
voh,nc,-25,161
sao raimundo nonato,br,-9,-43
serenje,zm,-13,30
caravelas,br,-26,-22
mlowo,tz,-9,33
turmalina,br,-17,-43
ntungamo,ug,-1,29
pandamatenga,bw,-19,25
marsala,it,38,12
mucurapo,tt,11,-62
los banos,us,37,-121
le mars,us,43,-96
bennington,us,43,-73
serov,ru,60,61
marshall,us,39,-93
grand forks,us,48,-97
madison,us,44,-97
poplar bluff,us,37,-91
kotido,ug,3,34
yelatma,ru,55,42
hobbs,us,33,-103
vostok,ru,46,136
panuco,mx,22,-98
smolensk,ru,55,32
north myrtle beach,us,31,-77
binzhou,cn,23,109
fastiv,ua,50,30
big rapids,us,44,-86
hanna,ca,52,-112
yalvac,tr,38,31
nemuro,jp,33,154
weiser,us,45,-117
plast,ru,54,61
yokadouma,cm,3,14
winston,us,28,-82
owensboro,us,38,-87
hasaki,jp,21,157
dabakala,ci,8,-4
hays,us,39,-100
bama,ng,12,14
mastic beach,us,38,-71
kharp,ru,67,66
bakel,sn,15,-12
starobaltachevo,ru,56,56
talnakh,ru,69,89
chernaya kholunitsa,ru,59,52
nehe,cn,49,124
south venice,us,26,-84
krasnokamensk,ru,50,118
montrose,us,38,-108
yershov,ru,51,48
tomelloso,es,39,-3
kunya,ru,56,31
lemesos,cy,33,33
boke,gn,11,-14
kavalerovo,ru,44,135
seredka,ru,58,28
gaozhou,cn,22,111
sakhon nakhon,th,17,104
bargal,so,9,61
kurush,ru,41,48
sayat,tm,38,64
shchuchye,ru,55,63
tarakan,id,2,116
santa margherita ligure,it,44,9
itoman,jp,19,131
cienfuegos,cu,21,-81
antri,in,26,78
lensk,ru,60,114
coulihaut,dm,15,-63
divnomorskoye,ru,44,38
susurluk,tr,40,28
thouars,fr,47,0
poyarkovo,ru,49,129
taganak,ph,6,119
brenham,us,30,-97
stryn,no,62,7
kushima,jp,27,136
bonnyville,ca,55,-111
ivankiv,ua,51,30
tuljapur,in,18,76
ask,no,60,11
oistins,bb,11,-58
jvari,ge,43,42
muyezerskiy,ru,64,31
afrikanda,ru,67,33
east wenatchee bench,us,48,-120
finnsnes,no,70,18
miraflores,co,0,-73
primore,ru,55,20
jiuquan,cn,36,98
trairi,br,1,-37
tipp city,us,40,-84
salamanca,es,41,-6
nkongsamba,cm,5,10
sondrio,it,46,10
wembley,ca,54,-119
sundargarh,in,22,84
sijunjung,id,0,102
niigata,jp,38,139
tazovskiy,ru,67,78
dvinskoy,ru,62,45
chengde,cn,41,118
tatarsk,ru,55,76
ruiz,mx,22,-105
siddipet,in,18,79
raipur,in,26,74
vieux-habitants,gp,15,-64
novoleushkovskaya,ru,46,40
palo alto,mx,22,-102
mixtepec,mx,16,-97
rostaq,af,37,70
rovereto,it,46,11
port blair,in,7,89
suarez,co,3,-77
qabis,tn,34,10
boysun,uz,38,67
meilu,cn,21,111
rensvik,no,63,8
phonhong,la,19,102
yuza,jp,39,140
verkhoshizhemye,ru,58,49
gryfice,pl,54,15
kalat,pk,29,67
leskovac,rs,43,22
hohhot,cn,40,112
kihei,us,19,-157
viransehir,tr,36,40
dwarka,in,18,65
pula,hr,45,14
west allis,us,43,-88
namtsy,ru,63,129
astaneh-ye ashrafiyeh,ir,38,50
krasnozerskoye,ru,54,79
newark,us,43,-77
plunge,lt,56,22
bolonchen,mx,19,-90
manosque,fr,44,6
peleduy,ru,60,113
casper,us,43,-107
sembe,cg,1,14
caraquet,ca,47,-65
nuevo laredo,mx,28,-100
ibra,om,19,58
erdenet,mn,48,105
campbellton,ca,48,-67
alibag,in,18,71
vestmannaeyjar,is,51,-23
balvi,lv,57,27
manavalakurichi,in,6,76
smolenka,ru,53,113
west fargo,us,47,-97
marigot,gp,18,-63
banikoara,bj,11,2
bunia,cd,2,30
gamboula,cf,4,15
qitaihe,cn,46,131
medford,us,42,-123
guelengdeng,td,11,16
rzeszow,pl,50,22
kostomuksha,ru,65,30
stolac,ba,43,18
larap,ph,5,119
catuday,ph,17,117
xiongzhou,cn,25,114
kaili,cn,27,108
yekaterinovka,ru,43,133
damavand,ir,36,52
coyuca,mx,17,-100
new richmond,ca,48,-66
baghmara,in,22,89
zapadnaya dvina,ru,56,32
skibbereen,ie,48,-11
bracebridge,ca,45,-79
urazovo,ru,50,38
carlsbad,us,32,-105
yuzhno-yeniseyskiy,ru,59,94
vanavara,ru,60,101
balkanabat,tm,39,53
bonavista,ca,49,-53
palafrugell,es,42,4
oskemen,kz,50,83
chinique,gt,15,-91
urbana,us,40,-88
chifeng,cn,43,119
siderno,it,37,18
gallup,us,35,-109
rock sound,bs,24,-76
tooele,us,40,-113
voghera,it,45,9
staropyshminsk,ru,57,61
skjaerhollen,no,59,11
kinablangan,ph,8,127
vieira de leiria,pt,40,-9
owando,cg,0,16
certeju de sus,ro,46,23
grimari,cf,6,20
dzerzhinsk,by,54,27
port lavaca,us,28,-96
viganello,ch,46,9
romny,ru,51,129
ravne,si,46,15
vengerovo,ru,56,77
turukhansk,ru,62,87
shatsk,ru,54,42
miastko,pl,54,17
mae sai,th,21,99
kaunas,lt,55,24
ust-karsk,ru,52,119
sindor,ru,63,52
sisimiut,gl,64,-59
hofn,is,58,-16
kristiansand,no,58,8
idil,tr,37,42
meyungs,pw,8,134
tawkar,sd,17,38
cumra,tr,38,33
rancho palos verdes,us,31,-120
darlowo,pl,55,16
recodo,ph,7,122
rutigliano,it,41,17
puntarenas,cr,10,-85
glens falls,us,44,-74
vanimo,pg,0,140
bjala,bg,43,28
sibu,my,2,112
sanchursk,ru,57,47
braganca,pt,42,-7
capoterra,it,39,9
balatonalmadi,hu,47,18
xingyi,cn,25,105
fianga,td,10,15
nevsehir,tr,39,35
lourdes,fr,43,0
wattegama,lk,3,88
bageshwar,in,30,80
novolabinskaya,ru,45,40
sogdiondon,ru,58,112
jesus del monte,mx,19,-100
bhaderwah,in,33,76
altay,cn,46,88
steamboat springs,us,40,-107
armeria,mx,19,-104
bida,ng,9,6
gerash,ir,27,53
makushino,ru,55,67
kamogawa,jp,35,140
guerande,fr,47,-3
azar shahr,ir,38,46
mingshui,cn,47,126
lucea,jm,17,-80
lajas,us,18,-67
kachug,ru,54,106
khandyga,ru,63,134
sagua la grande,cu,23,-80
dallas,us,34,-85
boralday,kz,44,76
riom,fr,46,3
